agi,int,spi,sta,str
25,22,22,19,18
25,23,23,20,18
26,24,24,20,19
26,25,25,21,19
27,26,26,21,20
27,26,27,22,21
28,27,28,22,21
28,28,29,23,22
29,29,30,24,22
29,30,31,24,23
30,31,33,25,23
30,32,34,26,24
31,33,35,26,24
31,34,36,27,25
32,35,37,28,26
32,37,38,28,26
33,38,40,29,27
34,39,41,30,27
34,40,42,30,28
35,41,43,31,29
35,42,45,32,29
36,43,46,33,30
36,44,47,33,31
37,46,49,34,31
38,47,50,35,32
38,48,51,36,33
39,49,53,36,33
40,50,54,37,34
40,52,56,38,35
41,53,57,39,35
42,54,58,40,36
42,56,60,41,37
43,57,61,41,38
44,58,63,42,38
44,60,64,43,39
45,61,66,44,40
46,62,68,45,41
46,64,69,46,42
47,65,71,47,42
48,67,72,48,43
49,68,74,49,44
49,70,76,50,45
50,71,77,51,46
51,73,79,52,47
52,74,81,53,47
53,76,83,54,48
53,77,85,55,49
54,79,86,56,50
55,81,88,57,51
56,82,90,58,52
57,84,92,59,53
58,86,94,60,54
59,87,96,61,55
59,89,98,62,56
60,91,100,63,57
61,93,102,64,58
62,95,104,65,59
63,96,106,67,60
64,98,108,68,61
65,100,110,69,62
