agi,int,spi,sta,str
0,0,0,0,0
1,0,0,1,0
2,1,1,1,1
3,1,2,2,1
5,2,2,3,1
6,3,3,4,1
7,3,3,5,2
8,4,4,6,2
10,4,5,6,2
11,5,5,7,3
12,5,6,8,3
14,6,6,9,3
15,7,7,10,4
16,7,8,11,4
18,8,8,12,4
19,8,9,13,5
20,9,10,14,5
22,10,10,15,5
23,10,11,16,6
25,11,12,17,6
26,12,13,18,6
28,12,13,19,7
29,13,14,20,7
31,14,15,21,8
32,14,16,22,8
34,15,16,23,8
36,16,17,24,9
37,16,18,25,9
39,17,19,26,10
41,18,19,27,10
42,19,20,29,10
44,19,21,30,11
46,20,22,31,11
47,21,23,32,12
49,22,24,33,12
51,23,25,35,13
53,23,25,36,13
55,24,26,37,13
57,25,27,38,14
58,26,28,40,14
60,27,29,41,15
62,28,30,42,15
64,28,31,44,16
66,29,32,45,16
68,30,33,46,17
70,31,34,48,17
72,32,35,49,18
75,33,36,50,18
77,34,37,52,19
79,35,38,53,19
81,36,39,55,20
83,37,40,56,20
86,38,41,58,21
88,39,42,59,22
90,40,43,61,22
92,41,44,63,23
95,42,46,64,23
97,43,47,66,24
100,44,48,67,24
102,45,49,69,25
