agi,int,spi,sta,str
0,0,0,0,0
0,1,1,0,0
0,2,2,1,0
0,3,3,1,0
1,5,4,1,0
1,6,6,1,1
1,7,7,2,1
1,8,8,2,1
1,10,9,2,1
2,11,10,3,1
2,12,12,3,1
2,14,13,3,1
2,15,14,4,1
2,16,16,4,2
3,18,17,4,2
3,19,18,5,2
3,20,20,5,2
3,22,21,5,2
3,23,22,6,2
4,25,24,6,2
4,26,25,6,3
4,28,27,7,3
4,29,28,7,3
5,31,30,8,3
5,32,31,8,3
5,34,33,8,3
5,36,34,9,3
5,37,36,9,4
6,39,37,10,4
6,41,39,10,4
6,42,41,10,4
6,44,42,11,4
7,46,44,11,4
7,47,46,12,5
7,49,47,12,5
8,51,49,13,5
8,53,51,13,5
8,55,53,13,5
8,57,54,14,6
9,58,56,14,6
9,60,58,15,6
9,62,60,15,6
9,64,62,16,6
10,66,64,16,7
10,68,66,17,7
10,70,68,17,7
11,72,70,18,7
11,75,72,18,7
11,77,74,19,8
12,79,76,19,8
12,81,78,20,8
12,83,80,20,8
13,86,82,21,8
13,88,84,22,9
13,90,87,22,9
14,92,89,23,9
14,95,91,23,9
14,97,93,24,10
15,100,96,24,10
15,102,98,25,10
