agi,int,spi,sta,str
0,0,0,0,0
0,1,1,0,0
0,2,3,1,0
1,3,4,1,0
1,4,5,1,1
1,6,7,2,1
1,7,8,2,1
2,8,10,2,1
2,9,11,3,1
2,10,13,3,2
2,12,14,4,2
3,13,16,4,2
3,14,17,4,2
3,16,19,5,2
3,17,21,5,3
4,18,22,6,3
4,20,24,6,3
4,21,26,6,3
5,22,27,7,3
5,24,29,7,4
5,25,31,8,4
5,27,33,8,4
6,28,34,9,4
6,30,36,9,5
6,31,38,10,5
7,33,40,10,5
7,34,42,10,5
7,36,44,11,5
8,37,46,11,6
8,39,48,12,6
8,41,50,12,6
9,42,52,13,6
9,44,54,13,7
9,46,56,14,7
10,47,58,14,7
10,49,60,15,8
10,51,62,16,8
11,53,64,16,8
11,54,67,17,8
11,56,69,17,9
12,58,71,18,9
12,60,73,18,9
13,62,76,19,9
13,64,78,20,10
13,66,80,20,10
14,68,83,21,10
14,70,85,21,11
15,72,88,22,11
15,74,90,23,11
15,76,93,23,12
16,78,95,24,12
16,80,98,24,12
17,82,101,25,13
17,84,103,26,13
18,87,106,27,13
18,89,109,27,14
19,91,112,28,14
19,93,114,29,14
20,96,117,29,15
20,98,120,30,15
