agi,int,spi,sta,str
0,0,0,0,0
1,0,0,1,1
2,0,1,1,1
4,0,1,2,2
5,1,1,2,3
6,1,2,3,3
7,1,2,4,4
9,1,2,4,5
10,1,3,5,6
11,2,3,6,6
13,2,4,6,7
14,2,4,7,8
16,2,4,8,9
17,2,5,9,9
18,3,5,9,10
20,3,6,10,11
21,3,6,11,12
23,3,6,12,13
24,3,7,12,13
26,4,7,13,14
28,4,8,14,15
29,4,8,15,16
31,4,9,16,17
32,5,9,16,18
34,5,10,17,19
36,5,10,18,20
37,5,10,19,21
39,5,11,20,22
41,6,11,21,22
43,6,12,21,23
44,6,12,22,24
46,6,13,23,25
48,7,13,24,26
50,7,14,25,27
52,7,14,26,28
54,8,15,27,30
55,8,16,28,31
57,8,16,29,32
59,8,17,30,33
61,9,17,31,34
63,9,18,32,35
65,9,18,33,36
67,9,19,34,37
70,10,20,35,38
72,10,20,36,40
74,10,21,37,41
76,11,21,38,42
78,11,22,39,43
80,11,23,41,44
83,12,23,42,46
85,12,24,43,47
87,12,24,44,48
90,13,25,45,49
92,13,26,46,51
95,13,27,48,52
97,14,27,49,53
99,14,28,50,55
102,14,29,51,56
105,15,29,53,58
107,15,30,54,59
