agi,int,spi,sta,str
0,0,0,0,0
0,1,1,1,1
1,1,2,2,1
1,2,3,2,2
2,3,4,3,3
2,4,4,4,4
2,5,5,5,4
3,6,6,6,5
3,6,7,7,6
4,7,8,8,7
4,8,9,9,8
5,9,10,10,8
5,10,11,11,9
6,11,12,12,10
6,12,13,13,11
7,13,15,14,12
7,14,16,15,13
7,15,17,16,14
8,16,18,17,15
8,17,19,18,16
9,18,20,19,16
10,19,21,20,17
10,20,22,21,18
11,21,24,22,19
11,22,25,24,20
12,23,26,25,21
12,24,27,26,22
13,25,28,27,23
13,26,30,28,24
14,27,31,29,25
14,29,32,31,26
15,30,34,32,28
16,31,35,33,29
16,32,36,34,30
17,33,38,36,31
18,35,39,37,32
18,36,40,38,33
19,37,42,40,34
19,38,43,41,35
20,40,45,42,37
21,41,46,44,38
21,42,48,45,39
22,44,49,47,40
23,45,51,48,42
23,46,52,50,43
24,48,54,51,44
25,49,55,53,45
26,50,57,54,47
26,52,59,56,48
27,53,60,57,49
28,55,62,59,51
29,56,64,60,52
29,58,65,62,54
30,59,67,64,55
31,61,69,65,57
32,63,71,67,58
33,64,73,69,59
33,66,74,71,61
34,67,76,72,63
35,69,78,74,64
