agi,int,spi,sta,str
0,0,0,0,0
1,0,0,1,1
1,0,1,2,2
2,0,1,3,3
3,0,1,4,4
3,1,1,5,6
4,1,2,6,7
5,1,2,7,8
6,1,2,8,9
6,1,3,9,10
7,1,3,11,12
8,1,3,12,13
9,1,4,13,14
10,2,4,14,15
10,2,4,15,17
11,2,5,16,18
12,2,5,18,19
13,2,5,19,21
14,2,6,20,22
15,2,6,21,24
15,3,6,23,25
16,3,7,24,26
17,3,7,25,28
18,3,8,27,29
19,3,8,28,31
20,3,8,29,32
21,3,9,31,34
22,4,9,32,35
23,4,10,34,37
24,4,10,35,39
25,4,10,36,40
26,4,11,38,42
27,4,11,39,43
28,5,12,41,45
29,5,12,42,47
30,5,13,44,49
31,5,13,46,50
32,5,13,47,52
33,6,14,49,54
34,6,14,50,56
36,6,15,52,57
37,6,15,54,59
38,6,16,55,61
39,7,16,57,63
40,7,17,59,65
41,7,17,61,67
43,7,18,63,69
44,7,18,64,71
45,8,19,66,73
46,8,19,68,75
48,8,20,70,77
49,8,20,72,79
50,8,21,74,81
52,9,22,76,84
53,9,22,78,86
54,9,23,80,88
56,9,23,82,90
57,10,24,84,92
59,10,24,86,95
60,10,25,88,97
