agi,int,spi,sta,str
0,0,0,0,0
0,1,1,1,0
1,2,2,1,1
1,3,3,2,1
1,4,4,2,1
2,5,5,3,1
2,6,6,4,2
2,7,7,4,2
3,8,8,5,2
3,9,9,6,3
4,11,11,6,3
4,12,12,7,3
4,13,13,8,4
5,14,14,8,4
5,15,15,9,4
6,16,16,10,5
6,18,18,11,5
6,19,19,11,5
7,20,20,12,6
7,21,21,13,6
8,23,23,14,6
8,24,24,14,7
9,25,25,15,7
9,27,27,16,8
10,28,28,17,8
10,29,29,18,8
10,31,31,18,9
11,32,32,19,9
11,34,34,20,10
12,35,35,21,10
12,36,36,22,10
13,38,38,23,11
13,39,39,24,11
14,41,41,25,12
14,42,42,26,12
15,44,44,27,13
16,46,46,27,13
16,47,47,28,13
17,49,49,29,14
17,50,50,30,14
18,52,52,31,15
18,54,54,32,15
19,55,55,33,16
20,57,57,34,16
20,59,59,36,17
21,61,61,37,17
21,63,63,38,18
22,64,64,39,18
23,66,66,40,19
23,68,68,41,19
24,70,70,42,20
24,72,72,43,20
25,74,74,44,21
26,76,76,46,22
27,78,78,47,22
27,80,80,48,23
28,82,82,49,23
29,84,84,51,24
29,86,86,52,24
30,88,88,53,25
