agi,int,spi,sta,str
0,0,0,0,0
0,1,1,0,0
1,2,2,1,1
1,3,3,1,1
1,4,4,2,1
2,5,5,3,1
2,6,6,3,2
2,7,8,4,2
3,8,9,4,2
3,9,10,5,3
4,11,11,5,3
4,12,12,6,3
4,13,14,6,4
5,14,15,7,4
5,15,16,8,4
6,16,17,8,5
6,18,19,9,5
6,19,20,9,5
7,20,21,10,6
7,21,23,11,6
8,23,24,11,6
8,24,25,12,7
9,25,27,13,7
9,27,28,13,8
10,28,30,14,8
10,29,31,15,8
10,31,32,15,9
11,32,34,16,9
11,34,35,17,10
12,35,37,17,10
12,36,39,18,10
13,38,40,19,11
13,39,42,20,11
14,41,43,20,12
14,42,45,21,12
15,44,47,22,13
16,46,48,23,13
16,47,50,24,13
17,49,52,24,14
17,50,53,25,14
18,52,55,26,15
18,54,57,27,15
19,55,59,28,16
20,57,60,29,16
20,59,62,29,17
21,61,64,30,17
21,63,66,31,18
22,64,68,32,18
23,66,70,33,19
23,68,72,34,19
24,70,74,35,20
24,72,76,36,20
25,74,78,37,21
26,76,80,38,22
27,78,82,39,22
27,80,84,40,23
28,82,86,41,23
29,84,89,42,24
29,86,91,43,24
30,88,93,44,25
